bug_id,creation_date,component_name,product_name,short_description,long_description,assignee_name,reporter_name,resolution_category,resolution_code,status_category,status_code,update_date,quantity_of_votes,quantity_of_comments,resolution_date,bug_fix_time,severity_category,severity_code
ORION-376014,2012-04-03,Client,ORION,Remove dojo dependency on core components,We're using dojo for Deferred and hitch in a few places in the core and also in plugin.js. We want these bits to be consumable very easily with any framework and should eliminate this dependency.,simon_kaegi,simon_kaegi,fixed,1,resolved,4,2012-04-04,0,2,2012-04-04,1,normal,2
CDT-255192,2008-11-13,cdt-core,CDT,C/C++ search shows (global) in results for static functions and variables,"the C/C++ search shows static functions and variables as (global):

For example: this declaration:
  static Trap * chain = NULL
is shown in the search result as:
  (global) chain - /org.eclipse.tm.tcf.agent/exceptions.c",mschorn.eclipse,eclipse,fixed,1,resolved,4,2009-05-26,0,3,2008-12-17,34,normal,2
ORION-387277,2012-08-15,Client,ORION,File name search: crawler is not triggered in some cases.,"John found this and I was able to reproduce it.

1.Drill into a sub folder in Orion project.
2.Click on a webDav or localHTML5 file system.
3.Press ctrl+shift+F.

The file name search should happens on the file system as selected in step 2.
But if you click on a sub folder of that file system the crawler is triggered.",libingw,libingw,fixed,1,resolved,4,2012-08-17,0,2,2012-08-17,2,normal,2
CDT-214619,2008-01-08,cdt-core,CDT,[patch] [class wizard] Base class list filtered incorrectly,"Created attachment 86397
patch that handles null enclosing projects

Build ID: 20080101

Steps To Reproduce:
1. Make a project which uses external include paths (e.g. SDKs)
2. Run C/C++ Class Wizard
3. Select 'Add...' to get base list
4. The list is restricted to classes defined in the project


More information:
Logic in NewClassWizardUtil#isTypeReachable() assumes that a type whose enclosing project is null is unreachable when in fact it may be on an external include path.",cdt-core-inbox,ed.swartz,fixed,1,resolved,4,2010-05-28,0,2,2009-08-10,580,normal,2
JSDT-472746,2015-07-15,General,JSDT,org.eclipse.wst.jsdt.core.tests.compiler.JSDTCompilerTests JUnit Tests failures,"Created attachment 255222
Log for org.eclipse.wst.jsdt.core.tests.compiler.JSDTCompilerTests

Looks like the failures have started to appear after the fix of bug #472117

See the log attached.",vrubezhny,vrubezhny,fixed,1,resolved,4,2015-07-15,0,2,2015-07-15,0,normal,2
ORION-457628,2015-01-15,Client,ORION,[client] LoginWindow no longer redirects to edit.html,When you try to create a new account from LoginWindow.html the account is created but you are not automatically redirected to edit.html.,ahunter.eclipse,ahunter.eclipse,fixed,1,resolved,4,2015-01-15,0,2,2015-01-15,0,normal,2
Z_ARCHIVED-57347,2004-04-02,Hyades,Z_ARCHIVED,NPE in BasicExecutionOccurrence.getName(),"got the following NullPointException in .log file

java.lang.NullPointerException
	at org.eclipse.hyades.uml2sd.ui.core.BasicExecutionOccurrence.getName
(BasicExecutionOccurrence.java:79)
	at org.eclipse.hyades.uml2sd.ui.view.SDWidget.contentsMouseHover
(SDWidget.java:183)
	at org.eclipse.hyades.uml2sd.ui.view.ScrollView$7.mouseHover
(ScrollView.java:144)
	at org.eclipse.swt.widgets.TypedListener.handleEvent
(TypedListener.java:211)
	at org.eclipse.swt.widgets.EventTable.sendEvent(EventTable.java:81)
	at org.eclipse.swt.widgets.Widget.sendEvent(Widget.java:840)
	at org.eclipse.swt.widgets.Display.runDeferredEvents(Display.java:2022)
	at org.eclipse.swt.widgets.Display.readAndDispatch(Display.java:1729)
	at org.eclipse.ui.internal.Workbench.runEventLoop(Workbench.java:1402)
	at org.eclipse.ui.internal.Workbench.run(Workbench.java:1385)
	at org.eclipse.core.internal.boot.InternalBootLoader.run
(InternalBootLoader.java:858)
	at org.eclipse.core.boot.BootLoader.run(BootLoader.java:461)
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at sun.reflect.NativeMethodAccessorImpl.invoke
(NativeMethodAccessorImpl.java:39)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke
(DelegatingMethodAccessorImpl.java:25)
	at java.lang.reflect.Method.invoke(Method.java:324)
	at org.eclipse.core.launcher.Main.basicRun(Main.java:291)
	at org.eclipse.core.launcher.Main.run(Main.java:747)
	at org.eclipse.core.launcher.Main.main(Main.java:583)",dguilbaud,ewchan,fixed,1,closed,6,2012-02-14,0,4,2004-04-05,3,normal,2
ICE-483617,2015-12-03,General,ICE,Python script doesn't install Visit into a 'Visit' folder instead uses disk image,Python script runs fine with no errors but doesn't install Visit into a folder 'Visit' any more. Instead creates 'mnt' and opens disk image. So for the first time Visit connection gets established but after computer gets restarted or disk image gets ejected connection can't be re-established because 'mnt' remains empty.,bennettar,kburova,fixed,1,closed,6,2015-12-11,0,9,2015-12-11,8,normal,2
TMF-268199,2009-03-11,Xtext,TMF,[Validation] Validation blocks user input,"Validation does not seem to be done in background. Reproducing the bug https://bugs.eclipse.org/bugs/show_bug.cgi?id=255015 shows that even a null-validation (I have not any entries in my check files) takes rather long for large models. As it is done in a read-action it locks the model and therefore the reconciler. We should find a way to interupt validation when the user enters more text.

Furthermore I've the impression that validation is to eager. The delay does not seem to be sufficient.",tmf.xtext-inbox,sebastian.zarnekow,fixed,1,closed,6,2017-09-19,0,6,2009-07-08,119,normal,2
GMF-RUNTIME-152644,2006-08-02,General,GMF-RUNTIME,need a way to disable CanonicalEditPolicy for diagrams.,"Need a utility method from GMF to disable all CanonicalEditPolicies for a given diagram. 

We are working on to create a compare/merge engine to merge UML models. Currently CanonicalEditPolicy interfers with our merge operation and we would like it to be disabled. I spoke with Mohammed Mostafa. He told me that I need to log a bugzilla so he can create an utility method in GMF layer for us to use. Please assign this bugzilla to Mohammed. Thank you very much.",mmostafa,tweng,fixed,1,resolved,4,2010-07-19,0,5,2006-08-18,16,critical,5
PLATFORM-315765,2010-06-04,Releng,PLATFORM,declare 3.6RC4,"A go is needed from all components below to declare 3.6RC4

Platform:
-Workspace
-User Assistance
-UI
-Text
-Search
-Debug
-SWT

JDT:
-APT
-Core
-Debug
-Text
-UI

PDE:
-API Tooling
-Build
-UI

Equinox

Releng

The last build toward 3.6RC4 is	I20100603-1500.",kim.moir,kim.moir,fixed,1,resolved,4,2010-06-04,0,14,2010-06-04,0,normal,2
CDT-239464,2008-07-03,cdt-core,CDT,Rebuild of index on project import,"Build ID: M20080221-1800

Steps To Reproduce:
1. Create a project using a project directory external to the workspace. Choose a project large enough to be able to notice that the index is being rebuilt.
2. Build the Index
3. Export the team-shared index (to the default location)
4. Delete the project
5. Import the project (Import->General->Existing Projects into workspace)
Note that the index is completely rebuilt


More information:
If the cdt debug messages are turned on you can see that the exported index is used and an update-index operation is performed (with no activity) and then a complete rebuild is also done.

If the sequence above is slightly modified so that after deleting the project from the workspace you exit eclipse and then restart eclipse and then do the import then the index is not rebuilt.

It seems like something is being left over that should be removed by the delete. I thought I found it once but I can't find it again. I think fFiletoProject or fUpdatePolicies in the workspace may still have an entry for the project even after it is deleted but it was never referenced on the import so it doesn't seem like that could cause a problem.

This scenario is convenient for testing but is not something a user is likely to do.",mschorn.eclipse,john.pruitt,fixed,1,resolved,4,2008-07-08,0,2,2008-07-08,5,normal,2
CDT-103226,2005-07-08,cdt-core,CDT,NPE in CTagEntry,"When running the Automated Suite in the UI I kept having NPEs note it did not
generate any failures in the tests.

java.lang.NullPointerException
	at
org.eclipse.cdt.internal.core.index.ctagsindexer.CTagEntry.getFunctionSignature(CTagEntry.java:219)
	at
org.eclipse.cdt.internal.core.index.ctagsindexer.CTagEntry.addTagToIndexOutput(CTagEntry.java:156)
	at
org.eclipse.cdt.internal.core.index.ctagsindexer.CTagsConsoleParser.processLine(CTagsConsoleParser.java:58)
	at
org.eclipse.cdt.internal.core.ConsoleOutputSniffer.processLine(ConsoleOutputSniffer.java:178)
	at
org.eclipse.cdt.internal.core.ConsoleOutputSniffer.access$0(ConsoleOutputSniffer.java:176)
	at
org.eclipse.cdt.internal.core.ConsoleOutputSniffer$ConsoleOutputStream.checkLine(ConsoleOutputSniffer.java:103)
	at
org.eclipse.cdt.internal.core.ConsoleOutputSniffer$ConsoleOutputStream.write(ConsoleOutputSniffer.java:66)
	at java.io.OutputStream.write(OutputStream.java:58)
	at
org.eclipse.cdt.internal.core.ProcessClosure$ReaderThread.run(ProcessClosure.java:48)
java.lang.NullPointerException
	at
org.eclipse.cdt.internal.core.index.ctagsindexer.CTagEntry.getFunctionSignature(CTagEntry.java:219)
	at
org.eclipse.cdt.internal.core.index.ctagsindexer.CTagEntry.addTagToIndexOutput(CTagEntry.java:156)
	at
org.eclipse.cdt.internal.core.index.ctagsindexer.CTagsConsoleParser.processLine(CTagsConsoleParser.java:58)
	at
org.eclipse.cdt.internal.core.ConsoleOutputSniffer.processLine(ConsoleOutputSniffer.java:178)
	at
org.eclipse.cdt.internal.core.ConsoleOutputSniffer.access$0(ConsoleOutputSniffer.java:176)
	at
org.eclipse.cdt.internal.core.ConsoleOutputSniffer$ConsoleOutputStream.checkLine(ConsoleOutputSniffer.java:103)
	at
org.eclipse.cdt.internal.core.ConsoleOutputSniffer$ConsoleOutputStream.close(ConsoleOutputSniffer.java:77)
	at
org.eclipse.cdt.internal.core.ProcessClosure$ReaderThread.close(ProcessClosure.java:90)
	at org.eclipse.cdt.internal.core.ProcessClosure.isAlive(ProcessClosure.java:184)
	at org.eclipse.cdt.core.CommandLauncher.waitAndRead(CommandLauncher.java:139)
	at
org.eclipse.cdt.internal.core.index.ctagsindexer.CTagsIndexerRunner.indexFile(CTagsIndexerRunner.java:109)
	at
org.eclipse.cdt.internal.core.index.domsourceindexer.AbstractIndexerRunner.index(AbstractIndexerRunner.java:76)
	at org.eclipse.cdt.internal.core.index.cindexstorage.Index.add(Index.java:110)
	at
org.eclipse.cdt.internal.core.index.ctagsindexer.CTagsAddCompilationUnitToIndex.indexDocument(CTagsAddCompilationUnitToIndex.java:30)
	at
org.eclipse.cdt.internal.core.index.ctagsindexer.CTagsAddFileToIndex.execute(CTagsAddFileToIndex.java:47)
	at
org.eclipse.cdt.internal.core.search.processing.JobManager.run(JobManager.java:466)
	at java.lang.Thread.run(Thread.java:534)
java.lang.NullPointerException
	at
org.eclipse.cdt.internal.core.index.ctagsindexer.CTagEntry.getFunctionSignature(CTagEntry.java:219)
	at
org.eclipse.cdt.internal.core.index.ctagsindexer.CTagEntry.addTagToIndexOutput(CTagEntry.java:156)
	at
org.eclipse.cdt.internal.core.index.ctagsindexer.CTagsConsoleParser.processLine(CTagsConsoleParser.java:58)
	at
org.eclipse.cdt.internal.core.ConsoleOutputSniffer.processLine(ConsoleOutputSniffer.java:178)
	at
org.eclipse.cdt.internal.core.ConsoleOutputSniffer.access$0(ConsoleOutputSniffer.java:176)
	at
org.eclipse.cdt.internal.core.ConsoleOutputSniffer$ConsoleOutputStream.checkLine(ConsoleOutputSniffer.java:103)
	at
org.eclipse.cdt.internal.core.ConsoleOutputSniffer$ConsoleOutputStream.write(ConsoleOutputSniffer.java:66)
	at java.io.OutputStream.write(OutputStream.java:58)
	at
org.eclipse.cdt.internal.core.ProcessClosure$ReaderThread.run(ProcessClosure.java:48)
java.lang.NullPointerException
	at
org.eclipse.cdt.internal.core.index.ctagsindexer.CTagEntry.getFunctionSignature(CTagEntry.java:219)
	at
org.eclipse.cdt.internal.core.index.ctagsindexer.CTagEntry.addTagToIndexOutput(CTagEntry.java:156)
	at
org.eclipse.cdt.internal.core.index.ctagsindexer.CTagsConsoleParser.processLine(CTagsConsoleParser.java:58)
	at
org.eclipse.cdt.internal.core.ConsoleOutputSniffer.processLine(ConsoleOutputSniffer.java:178)
	at
org.eclipse.cdt.internal.core.ConsoleOutputSniffer.access$0(ConsoleOutputSniffer.java:176)
	at
org.eclipse.cdt.internal.core.ConsoleOutputSniffer$ConsoleOutputStream.checkLine(ConsoleOutputSniffer.java:103)
	at
org.eclipse.cdt.internal.core.ConsoleOutputSniffer$ConsoleOutputStream.close(ConsoleOutputSniffer.java:77)
	at
org.eclipse.cdt.internal.core.ProcessClosure$ReaderThread.close(ProcessClosure.java:90)
	at org.eclipse.cdt.internal.core.ProcessClosure.isAlive(ProcessClosure.java:184)
	at org.eclipse.cdt.core.CommandLauncher.waitAndRead(CommandLauncher.java:139)
	at
org.eclipse.cdt.internal.core.index.ctagsindexer.CTagsIndexerRunner.indexFile(CTagsIndexerRunner.java:109)
	at
org.eclipse.cdt.internal.core.index.domsourceindexer.AbstractIndexerRunner.index(AbstractIndexerRunner.java:76)
	at org.eclipse.cdt.internal.core.index.cindexstorage.Index.add(Index.java:110)
	at
org.eclipse.cdt.internal.core.index.ctagsindexer.CTagsAddCompilationUnitToIndex.indexDocument(CTagsAddCompilationUnitToIndex.java:30)
	at
org.eclipse.cdt.internal.core.index.ctagsindexer.CTagsAddFileToIndex.execute(CTagsAddFileToIndex.java:47)
	at
org.eclipse.cdt.internal.core.search.processing.JobManager.run(JobManager.java:466)
	at java.lang.Thread.run(Thread.java:534)
java.lang.NullPointerException
	at
org.eclipse.cdt.internal.core.index.ctagsindexer.CTagEntry.getFunctionSignature(CTagEntry.java:219)
	at
org.eclipse.cdt.internal.core.index.ctagsindexer.CTagEntry.addTagToIndexOutput(CTagEntry.java:156)
	at
org.eclipse.cdt.internal.core.index.ctagsindexer.CTagsConsoleParser.processLine(CTagsConsoleParser.java:58)
	at
org.eclipse.cdt.internal.core.ConsoleOutputSniffer.processLine(ConsoleOutputSniffer.java:178)
	at
org.eclipse.cdt.internal.core.ConsoleOutputSniffer.access$0(ConsoleOutputSniffer.java:176)
	at
org.eclipse.cdt.internal.core.ConsoleOutputSniffer$ConsoleOutputStream.checkLine(ConsoleOutputSniffer.java:103)
	at
org.eclipse.cdt.internal.core.ConsoleOutputSniffer$ConsoleOutputStream.write(ConsoleOutputSniffer.java:66)
	at java.io.OutputStream.write(OutputStream.java:58)
	at
org.eclipse.cdt.internal.core.ProcessClosure$ReaderThread.run(ProcessClosure.java:48)
java.lang.NullPointerException
	at
org.eclipse.cdt.internal.core.index.ctagsindexer.CTagEntry.getFunctionSignature(CTagEntry.java:219)
	at
org.eclipse.cdt.internal.core.index.ctagsindexer.CTagEntry.addTagToIndexOutput(CTagEntry.java:156)
	at
org.eclipse.cdt.internal.core.index.ctagsindexer.CTagsConsoleParser.processLine(CTagsConsoleParser.java:58)
	at
org.eclipse.cdt.internal.core.ConsoleOutputSniffer.processLine(ConsoleOutputSniffer.java:178)
	at
org.eclipse.cdt.internal.core.ConsoleOutputSniffer.access$0(ConsoleOutputSniffer.java:176)
	at
org.eclipse.cdt.internal.core.ConsoleOutputSniffer$ConsoleOutputStream.checkLine(ConsoleOutputSniffer.java:103)
	at
org.eclipse.cdt.internal.core.ConsoleOutputSniffer$ConsoleOutputStream.close(ConsoleOutputSniffer.java:77)
	at
org.eclipse.cdt.internal.core.ProcessClosure$ReaderThread.close(ProcessClosure.java:90)
	at org.eclipse.cdt.internal.core.ProcessClosure.isAlive(ProcessClosure.java:184)
	at org.eclipse.cdt.core.CommandLauncher.waitAndRead(CommandLauncher.java:139)
	at
org.eclipse.cdt.internal.core.index.ctagsindexer.CTagsIndexerRunner.indexFile(CTagsIndexerRunner.java:109)
	at
org.eclipse.cdt.internal.core.index.domsourceindexer.AbstractIndexerRunner.index(AbstractIndexerRunner.java:76)
	at org.eclipse.cdt.internal.core.index.cindexstorage.Index.add(Index.java:110)
	at
org.eclipse.cdt.internal.core.index.ctagsindexer.CTagsAddCompilationUnitToIndex.indexDocument(CTagsAddCompilationUnitToIndex.java:30)
	at
org.eclipse.cdt.internal.core.index.ctagsindexer.CTagsAddFileToIndex.execute(CTagsAddFileToIndex.java:47)
	at
org.eclipse.cdt.internal.core.search.processing.JobManager.run(JobManager.java:466)
	at java.lang.Thread.run(Thread.java:534)",gheorghe,alain,fixed,1,resolved,4,2005-07-12,0,2,2005-07-12,4,normal,2
Z_ARCHIVED-60483,2004-04-29,Hyades,Z_ARCHIVED,FileLogger does not set ComponentType,"In the org.eclipse.hyades.logging.commons plugin the FileLogger class creates 
a CBE start event.  There is a bug in the creation of the CBE for this event.
At lines 777 and 778 ComponentIdType is set twice and ComponentType is not 
set.  It looks like the first line is meant to set ComponentType instead of 
ComponentIdType.

777     startSourceComponentId.setComponentIdType(Application)
778     startSourceComponentId.setComponentIdType(ApacheCommonsLog)",paulslau,zung,fixed,1,closed,6,2012-02-15,0,3,2004-05-03,4,normal,2
PLATFORM-229162,2008-04-28,Releng,PLATFORM,update builder to use org.eclipse.update.core_3.2.200.v20080421.jar,To take advantage of fixes in bug 226850.  Running test build now.,kim.moir,kim.moir,fixed,1,resolved,4,2008-04-30,0,2,2008-04-30,2,normal,2
GMF-RUNTIME-313921,2010-05-21,General,GMF-RUNTIME,Latest Orbit build breaks GMF Runtime,"BUILD FAILED
/home/www-data/build/modeling/gmp/gmf-runtime/downloads/drops/1.4.0/I201005211045/org.eclipse.gmf.runtime.releng/buildAll.xml:88: The following error occurred while executing this line:
/home/www-data/build/modeling/gmp/gmf-runtime/downloads/drops/1.4.0/I201005211045/org.eclipse.gmf.runtime.releng/buildAll.xml:116: The following error occurred while executing this line:
/home/www-data/build/modeling/gmp/gmf-runtime/downloads/drops/1.4.0/I201005211045/org.eclipse.gmf.runtime.releng/buildAll.xml:138: The following error occurred while executing this line:
/home/www-data/build/modeling/gmp/gmf-runtime/downloads/drops/1.4.0/I201005211045/org.eclipse.gmf.runtime.releng/buildAll.xml:132: The following error occurred while executing this line:
/home/www-data/build/modeling/gmp/gmf-runtime/downloads/drops/1.4.0/I201005211045/org.eclipse.gmf.runtime.releng/build.xml:24: The following error occurred while executing this line:
/home/www-data/build/modeling/gmp/gmf-runtime/downloads/drops/1.4.0/I201005211045/org.eclipse.releng.basebuilder/plugins/org.eclipse.pde.build_3.5.0.v20090527-1800/scripts/build.xml:35: The following error occurred while executing this line:
/home/www-data/build/modeling/gmp/gmf-runtime/downloads/drops/1.4.0/I201005211045/org.eclipse.releng.basebuilder/plugins/org.eclipse.pde.build_3.5.0.v20090527-1800/scripts/build.xml:91: The following error occurred while executing this line:
/home/www-data/build/modeling/gmp/gmf-runtime/downloads/drops/1.4.0/I201005211045/org.eclipse.gmf.runtime.releng/builder/runtime/customTargets.xml:9: The following error occurred while executing this line:
/home/www-data/build/modeling/gmp/gmf-runtime/downloads/drops/1.4.0/I201005211045/org.eclipse.releng.basebuilder/plugins/org.eclipse.pde.build_3.5.0.v20090527-1800/scripts/genericTargets.xml:106: Unable to find plug-in: org.apache.xml.resolver_1.2.0.v200902170519. Please check the error log for more details.


Looks like the latest orbit has something different:
http://download.eclipse.org/tools/orbit/downloads/drops/S20100514103823/bundles/org.apache.xml.resolver_1.2.0.v201005080400.jar",ahunter.eclipse,ahunter.eclipse,fixed,1,resolved,4,2010-07-19,0,4,2010-05-21,0,major,4
PLATFORM-317309,2010-06-18,Releng,PLATFORM,Platforms to remove in 3.7,"Today we build 15 platforms.  Many of these have low download numbers.  Each platform we support takes time to build and consumes space on eclipse.org.  It also takes time for the SWT and launcher teams to maintain these fragments.  I'd like to propose removing the following platforms in 3.7.  

Solaris gtk sparc
Linux gtk ppc 32 bit
macosx carbon
linux motif x86

The ultimate decision of what platforms stay or go rests with the PMC but I have opened this bug for discussion.",kim.moir,kim.moir,fixed,1,resolved,4,2010-12-09,0,22,2010-12-01,166,normal,2
TMF-461335,2015-03-03,Xtext,TMF,Unresolved proxies in RuleEngine.genmodel of pre-generated Xtext example project org.eclipse.xtext.example.homeautomation,"Created attachment 251262
errors when open genmodel

Environment

  Eclipse IDE for Eclipse Committers	4.4.2.20150219-0708	epp.package.standard
  Xtext Complete SDK	2.8.0.v201503030237	org.eclipse.xtext.sdk.feature.group	Eclipse Modeling Project
  EMF - Eclipse Modeling Framework Xcore SDK	1.3.0.v20150302-1243	org.eclipse.emf.ecore.xcore.sdk.feature.group	Eclipse Modeling Project

01. Create org.eclipse.xtext.example.homeautomation via Project wizard and selection of Xtext example project Homeautomation
02. Open RuleEngine.genmodel with EMF Generator editor
03. There errors with unresolved proxies at JavaVMTypes.ecore#JvmGenericType/getDeclaredConstructors
 - It used by JavaVMTypes.ecore#JvmGenericType/@genOperations.3
see appended screenshot for all errors",tmf.xtext-inbox,joerg83reichert,fixed,1,closed,6,2017-10-31,0,10,2015-03-05,2,normal,2
CDT-36701,2003-04-21,cdt-core,CDT,Scanner looses non-Token chars while macro quoting,"consider:
#define str(s) #s

str( @ \n )

The expected macro quoting would result in @ \\n instead the @ and \ are 
lost because they are not valid by themselves outside of a string or char 
quotes.",andrew.niefer,andrew.niefer,fixed,1,closed,6,2007-10-29,0,4,2003-06-10,50,normal,2
